,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileagev,enginev,max_powerv,torquev,Brand,model_name
4389,Hyundai Verna 1.6 SX,2014,700000,117000,Diesel,Dealer,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
4500,Hyundai Verna 1.6 SX CRDi (O),2014,755000,29340,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
4596,Hyundai Verna 1.6 SX,2014,545000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
4697,Hyundai Verna 1.6 SX,2014,700000,80000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
5136,Hyundai Verna 1.6 SX CRDI (O) AT,2014,736000,125000,Diesel,Individual,Automatic,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDI (O) AT
5356,Hyundai Verna 1.6 SX CRDi (O),2014,600000,125000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
5369,Hyundai Verna 1.6 SX,2014,545000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
5381,Hyundai Verna 1.6 SX CRDi (O),2014,575000,120000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
5872,Hyundai Verna 1.6 SX CRDi (O),2014,645000,150360,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
6191,Hyundai Verna 1.6 SX,2014,650000,83000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
6503,Hyundai Verna 1.6 SX CRDi (O),2014,625000,70000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
7216,Hyundai Verna 1.6 SX CRDi (O),2014,525000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
7960,Hyundai Verna 1.6 SX CRDi (O),2014,730000,60000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
112,Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
259,Hyundai Verna 1.6 CRDI,2013,530000,92500,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
574,Hyundai Verna 1.6 CRDi EX AT,2013,525000,75000,Diesel,Individual,Automatic,First Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDi EX AT
1644,Hyundai Verna 1.6 SX,2013,420000,69000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
2608,Hyundai Verna 1.6 CRDi EX MT,2013,445000,87185,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDi EX MT
3407,Hyundai Verna 1.6 SX,2013,500000,87000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
3475,Hyundai Verna 1.6 SX CRDi (O),2013,500000,70000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
3724,Hyundai Verna 1.6 SX,2013,520000,88000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
5272,Hyundai Verna 1.6 SX,2013,425000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
5763,Hyundai Verna 1.6 SX,2013,700000,76460,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
5928,Hyundai Verna 1.6 CRDI,2013,475000,125000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
5934,Hyundai Verna 1.6 SX CRDi (O),2013,580000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
6613,Hyundai Verna 1.6 CRDI,2013,500000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
7089,Hyundai Verna 1.6 SX,2013,459999,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
7214,Hyundai Verna 1.6 CRDi EX AT,2013,509999,120000,Diesel,Individual,Automatic,Second Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDi EX AT
939,Hyundai Verna 1.6 SX,2012,450000,120000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
1417,Hyundai Verna 1.6 SX,2012,395000,120000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
2054,Hyundai Verna 1.6 SX CRDi (O),2012,400000,138000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
2419,Hyundai Verna 1.6 SX,2012,450000,60000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
2614,Hyundai Verna 1.6 SX,2012,390000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
3726,Hyundai Verna 1.6 SX CRDi (O),2012,415000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
3733,Hyundai Verna 1.6 SX CRDi (O),2012,440000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
5068,Hyundai Verna 1.6 SX CRDi (O),2012,432000,77000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
5503,Hyundai Verna 1.6 SX CRDi (O),2012,459999,70000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
5780,Hyundai Verna 1.6 SX,2012,360000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
5826,Hyundai Verna 1.6 SX,2012,420000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
5974,Hyundai Verna 1.6 CRDI,2012,409999,100000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
6009,Hyundai Verna 1.6 SX CRDI (O) AT,2012,549000,66657,Diesel,Dealer,Automatic,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDI (O) AT
6064,Hyundai Verna 1.6 VGT CRDi,2012,425000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 VGT CRDi
6406,Hyundai Verna 1.6 SX,2012,450000,72000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
6529,Hyundai Verna 1.6 CRDI,2012,400000,103655,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
6779,Hyundai Verna 1.6 SX,2012,465000,146000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
6799,Hyundai Verna 1.6 SX,2012,450000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
6907,Hyundai Verna 1.6 SX CRDi (O),2012,500000,70000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
6925,Hyundai Verna 1.6 SX CRDi (O),2012,450000,150000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
7574,Hyundai Verna 1.6 SX CRDi (O),2012,590000,110000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
7609,Hyundai Verna 1.6 SX,2012,350000,120000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
8033,Hyundai Verna 1.6 SX,2012,450000,200000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
8106,Hyundai Verna 1.6 SX,2012,450000,128000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
597,Hyundai Verna 1.6 SX,2011,400000,221889,Diesel,Dealer,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
863,Hyundai Verna 1.6 VGT CRDi,2011,300000,80000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 VGT CRDi
1704,Hyundai Verna 1.6 SX,2011,475000,80000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
1779,Hyundai Verna 1.6 CRDI,2011,440000,80000,Diesel,Individual,Manual,Third Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
2564,Hyundai Verna 1.6 VGT CRDi,2011,400000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 VGT CRDi
2777,Hyundai Verna 1.6 SX,2011,500000,80000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
3593,Hyundai Verna 1.6 SX,2011,450000,96000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX
3603,Hyundai Verna 1.6 SX CRDi (O),2011,375000,35000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
3957,Hyundai Verna 1.6 SX CRDi (O),2011,360000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
5693,Hyundai Verna 1.6 SX CRDi (O),2011,390000,153000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
6756,Hyundai Verna 1.6 CRDI,2011,360000,157000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
6757,Hyundai Verna 1.6 CRDI,2011,380000,157000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
6926,Hyundai Verna 1.6 CRDI,2011,450000,108000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
8093,Hyundai Verna 1.6 CRDI,2011,450000,100000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582,126.3,259.9Nm,Hyundai,Verna 1.6 CRDI
8102,Hyundai Verna 1.6 SX CRDi (O),2011,450000,128000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582,126.32,259.8Nm,Hyundai,Verna 1.6 SX CRDi (O)
5606,Tata Indica Vista Quadrajet LS,2015,250000,155000,Diesel,Individual,Manual,Second Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet LS
3923,Tata Indica Vista Quadrajet LS,2014,240000,168000,Diesel,Individual,Manual,Second Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet LS
5735,Tata Indica Vista Quadrajet VX Tech,2014,225000,120000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet VX Tech
1613,Tata Indica Vista Quadrajet LS,2013,120000,120000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet LS
4282,Tata Indica Vista Quadrajet 90 VX,2013,200000,167000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,88.8,200Nm,Tata,Indica Vista Quadrajet 90 VX
7256,Tata Indica Vista Quadrajet 90 VX,2013,325000,100000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,88.8,200Nm,Tata,Indica Vista Quadrajet 90 VX
8016,Tata Indica Vista Quadrajet VX,2013,190000,120000,Diesel,Individual,Manual,Second Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet VX
777,Tata Indica Vista Quadrajet ZX,2012,250000,40000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet ZX
912,Tata Indica Vista Quadrajet VX,2012,130000,60000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet VX
1291,Tata Indica Vista Quadrajet VX,2012,150000,110000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet VX
3157,Tata Indica Vista Quadrajet VX,2012,175000,60000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet VX
3318,Tata Indica Vista Quadrajet VX,2012,285000,178000,Diesel,Individual,Manual,Second Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet VX
3540,Tata Indica Vista Quadrajet VX,2012,200000,90000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet VX
4155,Tata Indica Vista Quadrajet LS,2012,125000,120000,Diesel,Individual,Manual,First Owner,5.0,22.3,1248,74,190Nm,Tata,Indica Vista Quadrajet LS
4383,Volkswagen Vento 1.5 TDI Highline BSIV,2019,1350000,5400,Diesel,Dealer,Manual,Test Drive Car,5.0,22.27,1498,108.6,250Nm,Volkswagen,Vento 1.5 TDI Highline BSIV
2299,Volkswagen Vento 1.5 TDI Highline,2017,900000,74000,Diesel,Individual,Manual,First Owner,5.0,22.27,1498,108.6,250Nm,Volkswagen,Vento 1.5 TDI Highline
7444,Volkswagen Vento 1.5 TDI Comfortline,2017,750000,50000,Diesel,Individual,Manual,First Owner,5.0,22.27,1498,108.6,250Nm,Volkswagen,Vento 1.5 TDI Comfortline
2834,Volkswagen Vento 1.5 TDI Comfortline,2015,560000,43001,Diesel,Dealer,Manual,First Owner,5.0,22.27,1498,108.6,250Nm,Volkswagen,Vento 1.5 TDI Comfortline
7330,Volkswagen Vento 1.5 TDI Highline Plus AT BSIV,2018,1290000,29899,Diesel,Dealer,Automatic,First Owner,5.0,22.15,1498,108.6,250Nm,Volkswagen,Vento 1.5 TDI Highline Plus AT BSIV
1675,Volkswagen Vento 1.5 TDI Highline AT,2016,1000000,60000,Diesel,Individual,Automatic,First Owner,5.0,22.15,1498,108.6,250Nm,Volkswagen,Vento 1.5 TDI Highline AT
7292,Volkswagen Vento 1.5 TDI Highline Plus AT,2015,651000,69000,Diesel,Dealer,Automatic,First Owner,5.0,22.15,1498,108.6,250Nm,Volkswagen,Vento 1.5 TDI Highline Plus AT
5044,Hyundai Creta 1.4 EX Diesel,2020,1050000,20000,Diesel,Individual,Manual,First Owner,5.0,22.1,1396,88.7,219.7Nm,Hyundai,Creta 1.4 EX Diesel
944,Hyundai Creta 1.4 EX Diesel,2019,1000000,15000,Diesel,Individual,Manual,First Owner,5.0,22.1,1396,88.7,219.7Nm,Hyundai,Creta 1.4 EX Diesel
2935,Hyundai Creta 1.4 E Plus,2019,950000,15000,Diesel,Individual,Manual,First Owner,5.0,22.1,1396,88.7,219.7Nm,Hyundai,Creta 1.4 E Plus
7094,Hyundai Creta 1.4 E Plus,2019,990000,19600,Diesel,Individual,Manual,First Owner,5.0,22.1,1396,88.7,219.7Nm,Hyundai,Creta 1.4 E Plus
2338,Hyundai Creta 1.4 E Plus,2018,946000,60000,Diesel,Individual,Manual,First Owner,5.0,22.1,1396,88.7,219.7Nm,Hyundai,Creta 1.4 E Plus
1310,Chevrolet Sail 1.3 LS,2016,250000,60000,Diesel,Individual,Manual,Second Owner,5.0,22.1,1248,74,190Nm,Chevrolet,Sail 1.3 LS
1160,Chevrolet Sail LT ABS,2015,480000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.1,1248,74,190Nm,Chevrolet,Sail LT ABS
1471,Chevrolet Sail LT ABS,2014,260000,38000,Diesel,Individual,Manual,First Owner,5.0,22.1,1248,74,190Nm,Chevrolet,Sail LT ABS
974,Chevrolet Sail Hatchback LS ABS,2013,300000,65000,Diesel,Individual,Manual,First Owner,5.0,22.1,1248,76.9,205Nm,Chevrolet,Sail Hatchback LS ABS
1615,Chevrolet Sail Hatchback LS ABS,2013,420000,46815,Diesel,Individual,Manual,Second Owner,5.0,22.1,1248,76.9,205Nm,Chevrolet,Sail Hatchback LS ABS
2599,Chevrolet Sail Hatchback LT ABS,2013,200000,70000,Diesel,Individual,Manual,First Owner,5.0,22.1,1248,76.9,205Nm,Chevrolet,Sail Hatchback LT ABS
2830,Chevrolet Sail 1.3 LS,2013,246000,56000,Diesel,Dealer,Manual,First Owner,5.0,22.1,1248,74,190Nm,Chevrolet,Sail 1.3 LS
4436,Chevrolet Sail Hatchback Diesel,2013,355000,68000,Diesel,Individual,Manual,First Owner,5.0,22.1,1248,76.9,205Nm,Chevrolet,Sail Hatchback Diesel
4888,Chevrolet Sail Hatchback Diesel,2013,225000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.1,1248,76.9,205Nm,Chevrolet,Sail Hatchback Diesel
5761,Chevrolet Sail Hatchback Diesel Base,2013,295000,50000,Diesel,Individual,Manual,First Owner,5.0,22.1,1248,76.9,205Nm,Chevrolet,Sail Hatchback Diesel Base
6487,Chevrolet Sail Hatchback LT ABS,2013,200000,80000,Diesel,Individual,Manual,First Owner,5.0,22.1,1248,76.9,205Nm,Chevrolet,Sail Hatchback LT ABS
979,Volkswagen Polo Diesel Trendline 1.2L,2013,350000,80000,Diesel,Individual,Manual,Third Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Trendline 1.2L
1510,Volkswagen Polo Diesel Highline 1.2L,2013,550000,38000,Diesel,Individual,Manual,First Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
1899,Volkswagen Polo Diesel Highline 1.2L,2013,440000,75000,Diesel,Individual,Manual,Second Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
2133,Volkswagen Polo Diesel Highline 1.2L,2013,350000,80000,Diesel,Individual,Manual,First Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
5177,Volkswagen Polo Diesel Highline 1.2L,2013,365000,70000,Diesel,Individual,Manual,Second Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
5914,Volkswagen Polo Diesel Trendline 1.2L,2013,280000,90000,Diesel,Individual,Manual,Third Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Trendline 1.2L
5964,Volkswagen Polo Diesel Highline 1.2L,2013,350000,70000,Diesel,Individual,Manual,Second Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
6510,Volkswagen Polo Diesel Highline 1.2L,2013,250000,120000,Diesel,Individual,Manual,Third Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
7184,Volkswagen Polo Diesel Comfortline 1.2L,2013,280000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Comfortline 1.2L
7610,Volkswagen Polo Diesel Comfortline 1.2L,2013,325000,120000,Diesel,Individual,Manual,First Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Comfortline 1.2L
7611,Volkswagen Polo Diesel Comfortline 1.2L,2013,360000,80000,Diesel,Individual,Manual,First Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Comfortline 1.2L
1415,Volkswagen Polo Diesel Comfortline 1.2L,2012,229999,70000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Comfortline 1.2L
3783,Volkswagen Polo Diesel Highline 1.2L,2012,300000,60300,Diesel,Individual,Manual,First Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
6411,Volkswagen Polo Diesel Highline 1.2L,2012,350000,74000,Diesel,Individual,Manual,Second Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
6775,Volkswagen Polo Diesel Trendline 1.2L,2012,240000,200000,Diesel,Individual,Manual,First Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Trendline 1.2L
1031,Volkswagen Polo Diesel Highline 1.2L,2011,388000,80000,Diesel,Individual,Manual,Second Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
2854,Volkswagen Polo Diesel Highline 1.2L,2011,325000,134000,Diesel,Individual,Manual,Second Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
3122,Volkswagen Polo Diesel Highline 1.2L,2011,330000,120000,Diesel,Individual,Manual,First Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
5808,Volkswagen Polo Diesel Trendline 1.2L,2011,220000,222300,Diesel,Individual,Manual,First Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Trendline 1.2L
7219,Volkswagen Polo Diesel Highline 1.2L,2011,254999,120000,Diesel,Individual,Manual,Third Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
7241,Volkswagen Polo Diesel Comfortline 1.2L,2011,320000,77000,Diesel,Individual,Manual,Second Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Comfortline 1.2L
762,Volkswagen Polo Diesel Highline 1.2L,2010,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Highline 1.2L
4176,Volkswagen Polo Diesel Trendline 1.2L,2010,250000,80000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,22.07,1199,73.9,180Nm,Volkswagen,Polo Diesel Trendline 1.2L
920,Maruti Alto 800 VXI Plus,2020,370000,15000,Petrol,Individual,Manual,First Owner,5.0,22.05,796,47.3,69Nm,Maruti,Alto 800 VXI Plus
3218,Maruti Alto 800 LXI,2020,350000,5000,Petrol,Individual,Manual,First Owner,5.0,22.05,796,47.3,69Nm,Maruti,Alto 800 LXI
3671,Maruti Alto 800 VXI,2020,250999,30000,Petrol,Individual,Manual,First Owner,5.0,22.05,796,47.3,69Nm,Maruti,Alto 800 VXI
6868,Maruti Alto 800 VXI,2020,360000,5000,Petrol,Individual,Manual,First Owner,5.0,22.05,796,47.3,69Nm,Maruti,Alto 800 VXI
380,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift AMT VVT VXI
1545,Maruti Swift AMT ZXI Plus BSIV,2019,700000,20000,Petrol,Individual,Automatic,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift AMT ZXI Plus BSIV
3056,Hyundai Verna CRDi 1.6 SX Option,2019,1200000,40000,Diesel,Individual,Manual,First Owner,5.0,22.0,1582,126.2,259.87nm,Hyundai,Verna CRDi 1.6 SX Option
5174,Hyundai Verna CRDi 1.6 AT SX Option,2019,1200000,20000,Diesel,Individual,Automatic,First Owner,5.0,22.0,1582,126.2,259.87nm,Hyundai,Verna CRDi 1.6 AT SX Option
5548,Maruti Swift Dzire AMT VXI BS IV,2019,700000,45000,Petrol,Individual,Automatic,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift Dzire AMT VXI BS IV
6230,Maruti Swift AMT ZXI Plus BSIV,2019,650000,15000,Petrol,Individual,Automatic,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift AMT ZXI Plus BSIV
210,Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Petrol,Individual,Automatic,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift Dzire AMT VXI BS IV
347,Maruti Swift VXI BSIV,2018,610000,52000,Petrol,Dealer,Manual,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift VXI BSIV
382,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift AMT ZXI
1070,Maruti Swift ZXI 2018,2018,750000,15000,Petrol,Dealer,Manual,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift ZXI 2018
1792,Maruti Swift Dzire LXI 1.2 BS IV,2018,550000,5000,Petrol,Individual,Manual,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift Dzire LXI 1.2 BS IV
2164,Maruti Swift VXI 2018,2018,509999,70000,Petrol,Individual,Manual,Second Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift VXI 2018
2248,Maruti Swift VXI,2018,550000,24400,Petrol,Individual,Manual,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift VXI
2355,Maruti Swift ZXI Plus,2018,720000,20000,Petrol,Individual,Manual,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift ZXI Plus
2574,Maruti Swift Dzire VXI 1.2 BS IV,2018,650000,35000,Petrol,Individual,Manual,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift Dzire VXI 1.2 BS IV
2652,Maruti Swift AMT VXI,2018,500000,40000,Petrol,Individual,Automatic,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift AMT VXI
3076,Maruti Swift VXI,2018,560000,25000,Petrol,Individual,Manual,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift VXI
3350,Hyundai Verna CRDi 1.6 AT SX Plus,2018,1000000,30000,Diesel,Individual,Automatic,First Owner,5.0,22.0,1582,126.2,259.87nm,Hyundai,Verna CRDi 1.6 AT SX Plus
3383,Maruti Swift VXI 2018,2018,550000,5000,Petrol,Individual,Manual,First Owner,5.0,22.0,1197,81.80,113Nm,Maruti,Swift VXI 2018
3906,Hyundai Verna CRDi 1.6 AT SX Option,2018,1150000,49000,Diesel,Individual,Automatic,First Owner,5.0,22.0,1582,126.2,259.87nm,Hyundai,Verna CRDi 1.6 AT SX Option
